ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Zfp41	1	0	0	0	0	0
Zfp422	1	0	0	0	0	0
Zfp438	1	0	0	0	0	0
Zfp488	1	0	0	0	0	0
Zfp507	1	0	0	0	0	0
Zfp532	1	0	0	0	0	0
Zfp930	1	0	0	0	0	0
Zhx2	1	0	0	0	0	0
Zmiz1	1	0	0	0	0	0
1110038F14Rik	-1	0	0	0	0	0
1810011O10Rik	-1	0	0	0	0	0
1810013L24Rik	-1	0	0	0	0	0
2700029M09Rik	-1	0	0	0	0	0
5730508B09Rik	-1	0	0	0	0	0
6030458C11Rik	-1	0	0	0	0	0
8430419L09Rik	-1	0	0	0	0	0
AA414768	-1	0	0	0	0	0
Aaas	-1	0	0	0	0	0
Abcb8	-1	0	0	0	0	0
Abcc4	-1	0	0	0	0	0
Abhd11	-1	0	0	0	0	0
Abhd2	-1	0	0	0	0	0
Accs	-1	0	0	0	0	0
Ackr3	-1	0	0	0	0	0
Acsl1	-1	0	0	0	0	0
Adgrg6	-1	0	0	0	0	0
Ado	-1	0	0	0	0	0
Adpgk	-1	0	0	0	0	0
Aebp2	-1	0	0	0	0	0
Agfg1	-1	0	0	0	0	0
Ahr	-1	0	0	0	0	0
Ajuba	-1	0	0	0	0	0
Akap11	-1	0	0	0	0	0
Akap12	-1	0	0	0	0	0
Aldoa	-1	0	0	0	0	0
Alpk2	-1	0	0	0	0	0
Amd1	-1	0	0	0	0	0
Ammecr1l	-1	0	0	0	0	0
Anapc4	-1	0	0	0	0	0
Angel1	-1	0	0	0	0	0
Ank	-1	0	0	0	0	0
Ank3	-1	0	0	0	0	0
Ano6	-1	0	0	0	0	0
Antxr2	-1	0	0	0	0	0
Anxa1	-1	0	0	0	0	0
Anxa5	-1	0	0	0	0	0
Apbb2	-1	0	0	0	0	0
Aph1b	-1	0	0	0	0	0
Aqp1	-1	0	0	0	0	0
Aqp5	-1	0	0	0	0	0
Araf	-1	0	0	0	0	0
Areg	-1	0	0	0	0	0
Arf2	-1	0	0	0	0	0
Arhgap18	-1	0	0	0	0	0
Arhgap5	-1	0	0	0	0	0
Arhgdib	-1	0	0	0	0	0
Arid5b	-1	0	0	0	0	0
Arl4c	-1	0	0	0	0	0
Arntl	-1	0	0	0	0	0
Arsj	-1	0	0	0	0	0
Asap1	-1	0	0	0	0	0
Asb1	-1	0	0	0	0	0
Atf7ip	-1	0	0	0	0	0
Atp1b1	-1	0	0	0	0	0
Atp2b4	-1	0	0	0	0	0
Atp5g1	-1	0	0	0	0	0
Atp5g2	-1	0	0	0	0	0
Atp6v1b2	-1	0	0	0	0	0
Atp6v1g1	-1	0	0	0	0	0
Auh	-1	0	0	0	0	0
B3gnt2	-1	0	0	0	0	0
Baalc	-1	0	0	0	0	0
Banp	-1	0	0	0	0	0
Bard1	-1	0	0	0	0	0
Basp1	-1	0	0	0	0	0
Bbx	-1	0	0	0	0	0
Bcat1	-1	0	0	0	0	0
Bcl2l11	-1	0	0	0	0	0
Bcl7a	-1	0	0	0	0	0
Bcor	-1	0	0	0	0	0
Bhlhe40	-1	0	0	0	0	0
Bicc1	-1	0	0	0	0	0
Bloc1s3	-1	0	0	0	0	0
Bsdc1	-1	0	0	0	0	0
Btc	-1	0	0	0	0	0
Btf3	-1	0	0	0	0	0
Cachd1	-1	0	0	0	0	0
Cacul1	-1	0	0	0	0	0
Camk1d	-1	0	0	0	0	0
Camk1g	-1	0	0	0	0	0
Cand1	-1	0	0	0	0	0
Capn2	-1	0	0	0	0	0
Cav2	-1	0	0	0	0	0
Cbln1	-1	0	0	0	0	0
Ccbe1	-1	0	0	0	0	0
Ccdc130	-1	0	0	0	0	0
Ccdc166	-1	0	0	0	0	0
Ccdc34	-1	0	0	0	0	0
